M of C2H2__12C2-1H2__aCeTY,I,v,S,A,gm_a,gm_s,E_f,n_a,dt_a,V_i,V_f,Q_i,Q_f,Ierr,Iref,*,g_i,g_f
26,1,5066.939681,2.1645696012800818e-31,2.3776e-05,,,2714.323691,,, 0 2 0 0 1 0 1E2u, 0 0 0 0 2 0 2A1g,   6A2u  2E2g,   7A2g  0A2g,0.00058309518948453,,,39,45
26,1,5067.291664,8.255400223846092e-33,0.0019192,,,4162.322072999999,,, 1 2 0 1 0 0 0E1g, 1 0 0 0 0 3 0E1u,   3A2g  1E1g,   4A2u  1E1g,0.0012727922061357855,,,21,27
26,1,5067.337835000001,1.5384069283640076e-36,1.8635e-06,,,4684.455932,,, 1 2 0 1 0 1 0A2u, 1 0 0 0 1 3 0A2g,   8A2u  0A1g,   8A2g  0A1g,0.0008062257748298549,,,51,51
26,1,5067.585207999999,1.416678284749629e-30,0.00015565,,,2714.323691,,, 0 2 0 1 0 1 0A2u, 0 0 0 0 2 0 2A1g,   6A2u  0A1g,   7A2g  0A2g,0.0007810249675906653,,,39,45
26,1,5067.93055,1.206364771564824e-34,1.0035e-05,,,4228.55303,,, 1 2 0 0 0 0 1E1u, 0 1 0 1 0 0 0E1g,  13A2u  1E1g,  13A2g  1E1g,0.0004123105625617661,,,81,81
26,1,5068.348550000001,1.9950583052468876e-34,1.4662000000000001e-05,,,4170.045548,,, 1 2 0 0 0 0 1E1u, 0 1 0 1 0 0 0E1g,  11A2u  1E1g,  11A2g  1E1g,0.0005099019513592785,,,69,69
26,1,5068.534373999999,8.50326744320836e-35,1.8119e-05,,,4144.298911,,, 1 2 0 0 0 0 1E1u, 0 1 0 1 0 0 0E1g,  10A1u  1E1g,  10A1g  1E1g,0.0006708203932499369,,,21,21
26,1,5068.701053000002,3.300455933548523e-34,2.3125e-05,,,4120.8911259999995,,, 1 2 0 0 0 0 1E1u, 0 1 0 1 0 0 0E1g,   9A2u  1E1g,   9A2g  1E1g,0.0008544003745317531,,,57,57
26,1,5069.177299,1.0367864100068067e-35,1.7213e-05,,,4885.621736,,, 0 3 0 0 0 0 0A2u, 1 0 0 2 0 2 0E2g,  16A2u  0A1g,  15A2g  2E2g,0.0008544003745317531,,,99,93
26,1,5069.545353999999,7.609041401109939e-35,1.83e-05,,,4500.231315,,, 1 2 0 1 0 0 0E1g, 1 0 0 0 0 3 0E1u,  17A2g  1E1g,  17A2u  1E1g,0.0010295630140987001,,,105,105
26,1,5070.047343000001,3.857451023308862e-34,0.00049436,,,4775.177140999999,,, 1 2 0 0 1 0 1E2u, 0 1 0 1 1 0 0E2g,  12A2u  2E2g,  11A2g  2E2g,0.00058309518948453,,,75,69
26,1,5070.141612,2.7420505180808715e-37,3.2911999999999997e-07,,,4725.815953,,, 1 2 0 1 0 1 0A2u, 0 1 0 1 1 0 0E2g,  10A2u  0A1g,   9A2g  2E2g,0.0006403124237432849,,,63,57
26,1,5070.354443999999,1.096975840005963e-33,1.1867e-07,,,2710.9089280000003,,, 0 2 0 0 1 0 1E2u, 0 0 0 0 1 3 0A2g,   6A2u  2E2g,   6A2g  0A1g,0.0007615773105863909,,,39,39
26,1,5070.620918999999,4.243406590858526e-31,0.00029082,,,3294.448,,, 0 2 0 1 1 0 0E2u, 0 0 0 0 0 0 4E2g,  17A2u  2E2g,  18A2g  2E2g,0.0007810249675906653,,,105,111
26,1,5070.999970999999,4.948673470185506e-34,5.3548e-08,,,2710.9089280000003,,, 0 2 0 1 0 1 0A2u, 0 0 0 0 1 3 0A2g,   6A2u  0A1g,   6A2g  0A1g,0.0009219544457292887,,,39,39
26,1,5071.926360000001,1.1214035097189552e-34,0.00013353,,,4724.031204999999,,, 1 2 0 1 0 1 0A2u, 0 1 0 1 0 1 0A1g,  10A2u  0A1g,  11A2g  0A2g,0.0004123105625617661,,,63,69
26,1,5072.79684,3.780589572918393e-35,5.6113e-05,,,4725.815953,,, 3 1 0 0 0 0 1E1u, 0 1 0 1 1 0 0E2g,   8A2u  1E1g,   9A2g  2E2g,0.00058309518948453,,,51,57
26,1,5073.072438,4.8851162781088404e-31,0.00028987,,,3252.49838,,, 0 2 0 1 1 0 0E2u, 0 0 0 0 0 0 4E2g,  16A2u  2E2g,  17A2g  2E2g,0.00022360679774997898,,,99,105
26,1,5073.931715000001,3.944967915040505e-29,0.00066854,,,2132.674897,,, 0 2 0 0 0 0 1E1u, 0 0 0 0 3 0 0E1g,   7A1u  1E1g,   8A1g  1E1g,0.0001414213562373095,,,15,17
